num_directions,num_traps,search_length,learning_length,time,num_squares,index,displacement
5,264,2146.7060659906233,15355.853175633381,1053,288,0,195.279502642778
5,264,2146.7060659906233,15355.853175633381,1053,288,1,195.279502642778
5,264,2146.7060659906233,15355.853175633381,1053,288,2,195.279502642778
5,264,2146.7060659906233,15355.853175633381,1053,288,3,195.279502642778
5,264,2146.7060659906233,15355.853175633381,1053,288,4,211.680404937517
5,264,2146.7060659906233,15355.853175633381,1053,288,5,234.756384428008
5,264,2146.7060659906233,15355.853175633381,1053,288,6,229.775272363463
5,264,2146.7060659906233,15355.853175633381,1053,288,7,385.211510737628
5,264,2146.7060659906233,15355.853175633381,1053,288,8,498.712891175701
5,264,2146.7060659906233,15355.853175633381,1053,288,9,538.759966500219
5,264,2146.7060659906233,15355.853175633381,1053,288,10,519.480550775964
5,264,2146.7060659906233,15355.853175633381,1053,288,11,518.720165002425
5,264,2146.7060659906233,15355.853175633381,1053,288,12,518.720165002425
5,264,2146.7060659906233,15355.853175633381,1053,288,13,391.377165015072
5,264,2146.7060659906233,15355.853175633381,1053,288,14,296.039728283126
5,264,2146.7060659906233,15355.853175633381,1053,288,15,322.702744942565
5,264,2146.7060659906233,15355.853175633381,1053,288,16,240.516419875391
5,264,2146.7060659906233,15355.853175633381,1053,288,17,356.163884721858
5,264,2146.7060659906233,15355.853175633381,1053,288,18,288.204171954019
5,264,2146.7060659906233,15355.853175633381,1053,288,19,250.044561879890
5,264,2146.7060659906233,15355.853175633381,1053,288,20,307.875297433567
5,264,2146.7060659906233,15355.853175633381,1053,288,21,379.127675232343
5,264,2146.7060659906233,15355.853175633381,1053,288,22,346.629908309425
5,264,2146.7060659906233,15355.853175633381,1053,288,23,346.629908309425
5,264,2146.7060659906233,15355.853175633381,1053,288,24,336.637635790635
5,264,2146.7060659906233,15355.853175633381,1053,288,25,378.872883207707
5,264,2146.7060659906233,15355.853175633381,1053,288,26,410.488138315485
5,264,2146.7060659906233,15355.853175633381,1053,288,27,481.859934155231
5,264,2146.7060659906233,15355.853175633381,1053,288,28,563.677425051828
5,264,2146.7060659906233,15355.853175633381,1053,288,29,511.801315638434
5,264,2146.7060659906233,15355.853175633381,1053,288,30,371.239000614041
5,264,2146.7060659906233,15355.853175633381,1053,288,31,498.706975223123
5,264,2146.7060659906233,15355.853175633381,1053,288,32,522.040734588717
5,264,2146.7060659906233,15355.853175633381,1053,288,33,522.040734588717
5,264,2146.7060659906233,15355.853175633381,1053,288,34,522.040734588717
5,264,2146.7060659906233,15355.853175633381,1053,288,35,522.040734588717
5,264,2146.7060659906233,15355.853175633381,1053,288,36,520.511301836734
5,264,2146.7060659906233,15355.853175633381,1053,288,37,489.152957936840
5,264,2146.7060659906233,15355.853175633381,1053,288,38,489.152957936840
5,264,2146.7060659906233,15355.853175633381,1053,288,39,482.027833364331
5,264,2146.7060659906233,15355.853175633381,1053,288,40,601.181389129496
5,264,2146.7060659906233,15355.853175633381,1053,288,41,605.697799340182
5,264,2146.7060659906233,15355.853175633381,1053,288,42,547.634388013509
5,264,2146.7060659906233,15355.853175633381,1053,288,43,513.343287377804
5,264,2146.7060659906233,15355.853175633381,1053,288,44,559.802581085542
5,264,2146.7060659906233,15355.853175633381,1053,288,45,524.063616027023
5,264,2146.7060659906233,15355.853175633381,1053,288,46,515.557724301697
5,264,2146.7060659906233,15355.853175633381,1053,288,47,552.629041193541
5,264,2146.7060659906233,15355.853175633381,1053,288,48,440.311142933547
5,264,2146.7060659906233,15355.853175633381,1053,288,49,513.361090992597
5,264,2146.7060659906233,15355.853175633381,1053,288,50,513.361090992597
5,264,2146.7060659906233,15355.853175633381,1053,288,51,444.339739146612
5,264,2146.7060659906233,15355.853175633381,1053,288,52,458.881006414342
5,264,2146.7060659906233,15355.853175633381,1053,288,53,452.931815484766
5,264,2146.7060659906233,15355.853175633381,1053,288,54,485.230740386602
5,264,2146.7060659906233,15355.853175633381,1053,288,55,518.938806046783
5,264,2146.7060659906233,15355.853175633381,1053,288,56,446.987476829636
5,264,2146.7060659906233,15355.853175633381,1053,288,57,395.980540612761
5,264,2146.7060659906233,15355.853175633381,1053,288,58,496.112741112216
5,264,2146.7060659906233,15355.853175633381,1053,288,59,521.240795854619
5,264,2146.7060659906233,15355.853175633381,1053,288,60,523.135980629372
5,264,2146.7060659906233,15355.853175633381,1053,288,61,476.734226215427
5,264,2146.7060659906233,15355.853175633381,1053,288,62,443.036535932089
5,264,2146.7060659906233,15355.853175633381,1053,288,63,363.826660848879
5,264,2146.7060659906233,15355.853175633381,1053,288,64,470.581759745584
5,264,2146.7060659906233,15355.853175633381,1053,288,65,522.029623479749
5,264,2146.7060659906233,15355.853175633381,1053,288,66,559.529480119013
5,264,2146.7060659906233,15355.853175633381,1053,288,67,559.529480119013
5,264,2146.7060659906233,15355.853175633381,1053,288,68,557.594868913090
5,264,2146.7060659906233,15355.853175633381,1053,288,69,428.209321703751
5,264,2146.7060659906233,15355.853175633381,1053,288,70,237.006024192085
5,264,2146.7060659906233,15355.853175633381,1053,288,71,369.761991076652
5,264,2146.7060659906233,15355.853175633381,1053,288,72,491.389589027700
5,264,2146.7060659906233,15355.853175633381,1053,288,73,595.358934237485
5,264,2146.7060659906233,15355.853175633381,1053,288,74,562.953394207574
5,264,2146.7060659906233,15355.853175633381,1053,288,75,668.652872183151
5,264,2146.7060659906233,15355.853175633381,1053,288,76,658.881192904297
5,264,2146.7060659906233,15355.853175633381,1053,288,77,613.796986338966
5,264,2146.7060659906233,15355.853175633381,1053,288,78,654.284539301141
5,264,2146.7060659906233,15355.853175633381,1053,288,79,744.680878314144
5,264,2146.7060659906233,15355.853175633381,1053,288,80,676.220080458746
5,264,2146.7060659906233,15355.853175633381,1053,288,81,697.564368644121
5,264,2146.7060659906233,15355.853175633381,1053,288,82,702.704913563866
